0.0000	0.19
0.0461	0.19
0.0922	0.38
0.1382	0.19
0.1843	0.38
0.2304	0.56
0.2765	0.75
0.3226	0.94
0.3687	1.32
0.4147	1.32
0.4608	1.5
0.5069	1.69
0.553	1.69
0.5991	2.07
0.6452	2.07
0.6912	2.07
0.7373	2.26
0.7834	2.07
0.8295	2.26
0.8756	2.44
0.9217	2.44
0.9677	2.63
1.0138	2.63
1.0599	2.63
1.106	2.44
1.1521	2.44
1.1982	2.44
1.2442	2.44
1.2903	2.44
1.3364	2.44
1.3825	2.44
1.4286	2.44
1.4747	2.26
1.5207	2.07
1.5668	2.07
1.6129	2.07
1.659	2.07
1.7051	1.69
1.7512	1.32
1.7972	0.94
1.8433	0.56
1.8894	0.38
1.9355	0.19
1.9816	0.19
2.0276	0
2.0737	-0.38
2.1198	-0.38
2.1659	-0.94
2.212	-1.5
2.2581	-1.69
2.3041	-2.26
2.3502	-2.44
2.3963	-3.01
2.4424	-3.76
2.4885	-4.32
2.5346	-4.89
2.5806	-5.08
2.6267	-5.45
2.6728	-5.83
2.7189	-6.77
2.765	-7.52
2.8111	-8.83
2.8571	-9.59
2.9032	-10.34
2.9493	-10.9
2.9954	-11.65
3.0415	-12.59
3.0876	-14.29
3.1336	-15.23
3.1797	-16.54
3.2258	-18.05
3.2719	-19.36
3.318	-20.3
3.3641	-21.8
3.4101	-23.68
3.4562	-24.81
3.5023	-25.94
3.5484	-27.44
3.5945	-29.14
3.6406	-29.89
3.6866	-30.26
3.7327	-29.89
3.7788	-29.32
3.8249	-27.44
3.871	-25.38
3.9171	-23.12
3.9631	-21.8
4.0092	-19.17
4.0553	-16.73
4.1014	-13.72
4.1475	-11.09
4.1935	-8.27
4.2396	-5.26
4.2857	-2.26
4.3318	0.19
4.3779	2.26
4.424	2.82
4.47	3.76
4.5161	4.7
4.5622	5.45
4.6083	6.58
4.6544	7.14
4.7005	7.89
4.7465	7.89
4.7926	7.33
4.8387	6.58
4.8848	5.45
4.9309	3.38
4.977	1.5
5.023	0.38
5.0691	0.19
5.1152	0.56
5.1613	1.5
5.2074	3.95
5.2535	6.77
5.2995	12.41
5.3456	17.29
5.3917	21.62
5.4378	25.38
5.4839	27.63
5.53	28.76
5.576	28.57
5.6221	27.26
5.6682	25.19
5.7143	22.56
5.7604	19.55
5.8065	18.61
5.8525	17.86
5.8986	17.11
5.9447	15.41
5.9908	14.29
6.0369	13.16
6.0829	12.78
6.129	12.59
6.1751	12.59
6.2212	11.84
6.2673	11.28
6.3134	10.71
6.3594	10.53
6.4055	10.53
6.4516	10.62
6.4977	10.62
6.5438	10.53
6.5899	10.71
6.6359	11.65
6.682	12.41
6.7281	12.78
6.7742	12.59
6.8203	11.65
6.8664	10.71
6.9124	9.59
6.9585	8.83
7.0046	7.89
7.0507	6.77
7.0968	5.26
7.1429	2.26
7.1889	-0.19
7.235	-2.63
7.2811	-5.08
7.3272	-7.14
7.3733	-9.02
7.4194	-10.9
7.4654	-12.03
7.5115	-13.16
7.5576	-13.91
7.6037	-14.29
7.6498	-14.66
7.6959	-15.04
7.7419	-14.85
7.788	-14.29
7.8341	-13.72
7.8802	-12.78
7.9263	-11.65
7.9724	-10.53
8.0184	-9.59
8.0645	-7.89
8.1106	-6.2
8.1567	-4.51
8.2028	-3.2
8.2488	-1.32
8.2949	0.38
8.341	2.82
8.3871	5.08
8.4332	6.39
8.4793	7.14
8.5253	7.89
8.5714	7.71
8.6175	6.95
8.6636	6.58
8.7097	6.39
8.7558	6.39
8.8018	6.77
8.8479	7.71
8.894	8.65
8.9401	9.59
8.9862	9.96
9.0323	9.77
9.0783	9.02
9.1244	7.33
9.1705	5.83
9.2166	4.7
9.2627	3.76
9.3088	3.95
9.3548	4.32
9.4009	5.08
9.447	5.64
9.4931	5.83
9.5392	5.83
9.5853	5.26
9.6313	4.89
9.6774	4.7
9.7235	4.14
9.7696	4.14
9.8157	4.14
9.8618	4.14
9.9263	4.7
9.9539	5.45
10.0000	5.45
